consecutivo,folioviv,ic_rezedu,ic_asalud,ic_segsoc,trab,jedad,muj15a49,exc_lengua,depecon,dormi,num_ind,hacina,ing_mon,ing_trab,ing_negp,ing_rent,ing_tran,rururb,intt,intpc,teneciareg,locurbana,paredsol,techosol,lningtot
337,021008,4,1,2,2,22,1,0,2,2,5,2.50,5474.44,4973.53,0.00,0.00,500.91,1,8675.64,1735.13,1,0,1.00,1.00,9.07
338,021009,0,0,0,1,32,0,0,3,2,4,2.00,11189.31,0.00,3504.96,0.00,7684.35,1,13083.31,3270.83,1,0,1.00,1.00,9.48
339,021010,3,6,6,2,32,3,0,2,1,6,6.00,9113.30,3072.70,0.00,0.00,6040.60,1,9047.51,1507.92,1,0,0.00,1.00,9.11
340,021011,0,0,1,3,56,0,0,1,3,5,1.67,63501.13,40854.43,1777.99,20868.70,0.00,0,66492.91,13298.58,1,1,1.00,1.00,11.10
341,021012,0,0,2,2,43,1,0,1,2,3,1.50,10364.17,10364.17,0.00,0.00,0.00,0,12258.83,4086.28,1,1,1.00,1.00,9.41
342,021013,1,0,1,1,58,0,0,2,2,3,1.50,8513.42,8513.42,0.00,0.00,0.00,0,10308.49,3436.16,1,1,1.00,1.00,9.24
343,021014,1,0,1,3,45,2,0,1,3,7,2.33,8753.31,8711.45,0.00,0.00,0.00,0,11332.89,1618.98,1,1,1.00,1.00,9.34
344,021015,0,0,0,2,29,1,0,0,2,3,1.50,16336.93,16105.46,0.00,0.00,83.56,0,19589.22,6529.74,1,1,0.00,1.00,9.88
345,021016,0,4,4,1,38,1,0,3,3,4,1.33,50.11,0.00,50.11,0.00,0.00,0,46.16,11.54,1,1,1.00,1.00,3.83
346,021017,0,0,1,0,76,0,0,0,2,1,0.50,5006.67,0.00,0.00,0.00,5006.67,0,7998.45,7998.45,1,1,1.00,1.00,8.99
347,021018,0,0,0,2,64,1,0,0,2,3,1.50,18544.33,17542.99,0.00,0.00,1001.33,0,21037.48,7012.49,1,1,1.00,1.00,9.95
348,021019,0,1,1,1,33,0,0,0,1,1,1.00,2703.07,2703.07,0.00,0.00,0.00,0,2703.07,2703.07,1,1,1.00,0.00,7.90
349,021020,0,2,0,1,64,0,0,1,2,2,1.00,13250.77,5240.10,0.00,0.00,8010.67,0,14746.66,7373.33,1,1,1.00,1.00,9.60
350,021021,1,1,5,2,47,2,0,2,1,5,5.00,2003.68,2003.68,0.00,0.00,0.00,1,2801.49,560.30,1,0,0.00,0.00,7.94
351,021022,0,0,0,2,36,0,0,1,1,4,4.00,6364.22,6308.41,0.00,0.00,0.00,1,11982.37,2995.59,1,0,0.00,1.00,9.39
352,021023,0,0,0,1,36,1,0,0,2,4,2.00,7539.19,7539.19,0.00,0.00,0.00,1,8337.00,2084.25,1,0,1.00,1.00,9.03
353,021024,1,0,0,1,58,1,0,4,3,5,1.67,4806.40,4806.40,0.00,0.00,0.00,1,6003.12,1200.62,1,0,1.00,1.00,8.70
354,021025,1,2,4,2,35,0,0,0,1,4,4.00,12569.13,11350.24,417.82,0.00,801.07,1,14762.70,3690.68,1,0,1.00,1.00,9.60
355,021026,0,0,0,1,31,2,0,4,1,5,5.00,6792.82,6008.00,0.00,0.00,784.82,1,7690.36,1538.07,0,0,1.00,1.00,8.95
356,021027,1,0,0,1,60,0,0,1,1,2,2.00,2803.74,2803.74,0.00,0.00,0.00,1,3801.00,1900.50,1,0,0.00,1.00,8.24
357,021028,1,0,0,1,28,2,0,3,1,4,4.00,3321.32,2803.74,0.00,0.00,517.58,1,4318.58,1079.64,1,0,1.00,1.00,8.37
358,021029,1,0,1,1,60,0,0,1,3,2,0.67,12870.15,12870.15,0.00,0.00,0.00,1,14366.04,7183.02,1,0,1.00,1.00,9.57
359,021030,2,0,1,1,52,0,0,2,2,3,1.50,4005.34,0.00,0.00,4005.34,0.00,1,5501.23,1833.74,1,0,1.00,1.00,8.61
360,021032,1,0,5,1,44,1,0,4,1,5,5.00,3191.77,0.00,1923.73,0.00,1268.04,0,3734.33,746.87,0,1,0.00,1.00,8.23
361,021033,0,0,4,1,26,1,0,0,1,4,4.00,4019.53,0.00,2494.61,0.00,1524.92,0,4717.61,1179.40,1,1,0.00,0.00,8.46
362,021034,1,4,5,4,43,0,0,1,1,6,6.00,13963.84,2862.14,10768.35,0.00,333.35,0,15411.71,2568.62,1,1,0.00,1.00,9.64
363,021035,1,1,1,2,70,0,0,0,2,2,1.00,12827.89,8412.26,0.00,0.00,4415.63,0,10196.23,5098.12,1,1,0.00,0.00,9.23
364,021036,2,6,6,2,67,1,0,2,3,6,2.00,5913.43,2409.90,3503.53,0.00,0.00,0,8406.58,1401.10,1,1,0.00,1.00,9.04
365,021037,#NULL!,1,2,4,40,0,0,1,3,6,2.00,14906.80,14906.80,0.00,0.00,0.00,0,15477.24,2579.54,1,1,0.00,1.00,9.65
366,021038,1,0,0,2,27,0,0,0,1,2,2.00,8962.92,8946.17,0.00,0.00,0.00,0,8776.51,4388.26,1,1,0.00,1.00,9.08
367,021039,4,1,6,5,36,0,0,0,3,6,2.00,15362.42,12780.79,1211.70,0.00,1369.93,0,16446.10,2741.02,0,1,0.00,1.00,9.71
368,021041,0,1,2,2,27,0,0,0,3,2,0.67,28379.57,28379.57,0.00,0.00,0.00,0,28379.57,14189.79,1,1,1.00,1.00,10.25
369,021042,0,3,3,1,57,0,0,2,3,3,1.00,8015.03,8015.03,0.00,0.00,0.00,0,10005.60,3335.20,1,1,1.00,1.00,9.21
370,021043,0,5,5,2,50,0,0,1,3,5,1.67,15177.91,12094.32,3083.59,0.00,0.00,0,20662.84,4132.57,1,1,1.00,1.00,9.94
371,021044,0,1,1,1,50,0,0,0,1,1,1.00,25224.41,25024.21,0.00,200.19,0.00,0,32205.23,32205.23,1,1,1.00,1.00,10.38
372,021046,0,0,0,2,29,0,0,0,2,2,1.00,12059.60,12017.74,0.00,0.00,0.00,0,9433.37,4716.68,1,1,1.00,0.00,9.15
373,021047,0,1,2,1,41,0,0,2,3,3,1.00,7006.78,7006.78,0.00,0.00,0.00,0,13987.60,4662.53,1,1,1.00,1.00,9.55
374,021048,2,4,2,3,38,1,0,1,2,7,3.50,8580.27,4563.77,4005.34,0.00,0.00,0,9992.94,1427.56,1,1,0.00,1.00,9.21
